177309  1773.713    29.3    37.3  
177310  1773.796    26.3    38.0  
177311  1773.880    40.9    38.9  
177312  1773.963    43.2    39.3  
177401  1774.048    46.8    38.9  
177402  1774.129    65.4    38.2  
177403  1774.209    55.7    37.1  
177404  1774.293    43.8    35.6  
177405  1774.376    51.3    34.2  
177406  1774.460    28.5    31.9  
177407  1774.543    17.5    28.9  
177408  1774.628     6.6    24.4  
177409  1774.712     7.9    19.8  
177410  1774.795    14.0    16.6  
177411  1774.879    17.7    13.3  
177412  1774.962    12.2    10.6  
177501  1775.047     4.4     9.3  
177502  1775.128     0.0     8.6  
177503  1775.209    11.6     8.5  
177504  1775.292    11.2     7.9  
177505  1775.376     3.9     7.5  
177506  1775.459    12.3     7.2  
177507  1775.543     1.0     7.7  
177508  1775.628     7.9     8.9  
177509  1775.711     3.2     9.2  
177510  1775.795     5.6     9.4  
177511  1775.878    15.1    10.2  
177512  1775.962     7.9    10.7  
177601  1776.047    21.7    11.0  
177602  1776.129    11.6    11.7  
177603  1776.211     6.3    12.9  
177604  1776.294    21.8    14.5  
177605  1776.378    11.2    16.3  
177606  1776.461    19.0    18.5  
177607  1776.545     1.0    20.8  
177608  1776.630    24.2    22.8  
177609  1776.713    16.0    25.2  
177610  1776.797    30.0    29.6  
177611  1776.880    35.0    35.6  
177612  1776.964    40.0    41.0  
177701  1777.049    45.0    47.5  
177702  1777.129    36.5    55.1  
177703  1777.210    39.0    62.9  
177704  1777.294    95.5    70.3  
177705  1777.377    80.3    78.1  
177706  1777.461    80.7    87.6  
177707  1777.544    95.0    98.0  
177708  1777.629   112.0   106.6  
177709  1777.713   116.2   113.6  
177710  1777.796   106.5   119.6  
177711  1777.880   146.0   128.2  
177712  1777.963   157.3   138.6  
177801  1778.048   177.3   144.8  
177802  1778.129   109.3   148.4  
177803  1778.209   134.0   151.9  
177804  1778.293   145.0   156.3  
177805  1778.376   238.9   158.5  
177806  1778.460   171.6   156.5  
177807  1778.543   153.0   151.8  
177808  1778.628   140.0   151.5  
177809  1778.712   171.7   153.2  
177810  1778.795   156.3   152.5  
177811  1778.879   150.3   148.4  
177812  1778.962   105.0   141.9  
177901  1779.047   114.7   139.0  
177902  1779.128   165.7   137.5  
177903  1779.209   118.0   133.8  
177904  1779.292   145.0   129.9  
177905  1779.376   140.0   127.0  
177906  1779.459   113.7   125.7  
177907  1779.543   143.0   124.1  
177908  1779.628   112.0   119.4  
177909  1779.711   111.0   115.7  
177910  1779.795   124.0   112.8  
177911  1779.878   114.0   109.4  
177912  1779.962   110.0   106.9  
178001  1780.047    70.0   103.5  
178002  1780.129    98.0   100.0  
178003  1780.211    98.0    98.2  
178004  1780.294    95.0    95.5  
178005  1780.378   107.2    91.3  
178006  1780.461    88.0    86.9  
178007  1780.545    86.0    86.0  
178008  1780.630    86.0    86.2  
178009  1780.713    93.7    83.4  
178010  1780.797    77.0    80.4  
178011  1780.880    60.0    79.2  
178012  1780.964    58.7    79.5  
178101  1781.049    98.7    79.4  
178102  1781.129    74.7    78.0  
178103  1781.210    53.0    75.4  
178104  1781.294    68.3    71.5  
178105  1781.377   104.7    69.8  
178106  1781.461    97.7    69.1  
178107  1781.544    73.5    66.2  
178108  1781.629    66.0    62.8  
178109  1781.713    51.0    60.6  
178110  1781.796    27.3    58.8  
178111  1781.880    67.0    55.6  
178112  1781.963    35.2    51.0  
178201  1782.048    54.0    47.0  
178202  1782.129    37.5    44.5  
178203  1782.209    37.0    42.9  
178204  1782.293    41.0    42.0  
178205  1782.376    54.3    40.4  
178206  1782.460    38.0    38.7  
178207  1782.543    37.0    37.4  
178208  1782.628    44.0    36.3  
178209  1782.712    34.0    36.0  
178210  1782.795    23.2    35.0  
178211  1782.879    31.5    33.2  
178212  1782.962    30.0    31.3  
178301  1783.047    28.0    30.6  
178302  1783.128    38.7    29.4  
178303  1783.209    26.7    27.7  
178304  1783.292    28.3    26.4  
178305  1783.376    23.0    25.1  
178306  1783.459    25.2    23.6  
178307  1783.543    32.2    22.2  
178308  1783.628    20.0    20.3  
178309  1783.711    18.0    18.3  
178310  1783.795     8.0    16.9  
178311  1783.878    15.0    15.5  
178312  1783.962    10.5    14.1  
178401  1784.047    13.0    12.3  
178402  1784.129     8.0    10.8  
178403  1784.211    11.0    10.0  
178404  1784.294    10.0     9.7  
178405  1784.378     6.0     9.8  
178406  1784.461     9.0    10.0  
178407  1784.545     6.0     9.9  
178408  1784.630    10.0     9.6  
178409  1784.713    10.0     9.5  
178410  1784.797     8.0     9.7  
178411  1784.880    17.0    10.5  
178412  1784.964    14.0    11.9  
178501  1785.049     6.5    13.9  
178502  1785.129     8.0    15.5  
178503  1785.210     9.0    16.9  
178504  1785.294    15.7    19.4  
178505  1785.377    20.7    22.0  
178506  1785.461    26.3    23.5  
178507  1785.544    36.3    25.4  
178508  1785.629    20.0    28.3  
178509  1785.713    32.0    31.6  
178510  1785.796    47.2    36.1  
178511  1785.880    40.2    42.0  
178512  1785.963    27.3    46.3  
178601  1786.048    37.2    49.6  
178602  1786.129    47.6    54.5  
178603  1786.209    47.7    60.7  
178604  1786.293    85.4    66.7  
178605  1786.376    92.3    72.6  
178606  1786.460    59.0    79.3  
178607  1786.543    83.0    86.9  
178608  1786.628    89.7    93.4  
178609  1786.712   111.5    97.5  
178610  1786.795   112.3   100.9  
178611  1786.879   116.0   104.4  
178612  1786.962   112.7   107.9  
178701  1787.047   134.7   111.4  
178702  1787.128   106.0   115.3  
178703  1787.209    87.4   119.2  
178704  1787.292   127.2   122.9  
178705  1787.376   134.8   125.9  
178706  1787.459    99.2   129.5  
178707  1787.543   128.0   132.2  
178708  1787.628   137.2   133.3  
178709  1787.711   157.3   136.6  
178710  1787.795   157.0   138.1  
178711  1787.878   141.5   136.4  
178712  1787.962   174.0   137.8  
178801  1788.047   138.0   140.7  
178802  1788.129   129.2   141.2  
178803  1788.211   143.3   140.4  
178804  1788.294   108.5   139.1  
178805  1788.378   113.0   136.6  
178806  1788.461   154.2   132.8  
178807  1788.545   141.5   129.9  
178808  1788.630   136.0   128.7  
178809  1788.713   141.0   127.6  
178810  1788.797   142.0   127.3  
178811  1788.880    94.7   128.3  
178812  1788.964   129.5   127.3  
178901  1789.049   114.0   124.9  
178902  1789.129   125.3   122.5  
178903  1789.210   120.0   119.9  
178904  1789.294   123.3   116.5  
178905  1789.377   123.5   116.0  
178906  1789.461   120.0   117.9  
178907  1789.544   117.0   117.7  
178908  1789.629   103.0   117.3  
178909  1789.713   112.0   116.4  
178910  1789.796    89.7   114.2  
178911  1789.880   134.0   111.7  
178912  1789.963   135.5   109.2  
179001  1790.048   103.0   106.0  
179002  1790.129   127.5   103.4  
179003  1790.209    96.3   101.2  
179004  1790.293    94.0    99.6  
179005  1790.376    93.0    97.2  
179006  1790.460    91.0    92.5  
179007  1790.543    69.3    88.6  
179008  1790.628    87.0    84.6  
179009  1790.712    77.3    81.0  
179010  1790.795    84.3    79.4  
179011  1790.879    82.0    77.8  
179012  1790.962    74.0    75.9  
179101  1791.047    72.7    74.9  
179102  1791.128    62.0    73.1  
179103  1791.209    74.0    70.8  
179104  1791.292    77.2    69.4  
179105  1791.376    73.7    67.9  
179106  1791.459    64.2    66.9  
179107  1791.543    71.0    66.0  
179108  1791.628    43.0    65.4  
179109  1791.711    66.5    65.1  
179110  1791.795    61.7    64.5  
179111  1791.878    67.0    64.0  
179112  1791.962    66.0    63.4  
179201  1792.047    58.0    62.2  
179202  1792.129    64.0    61.9  
179203  1792.211    63.0    62.2  
179204  1792.294    75.7    61.8  
179205  1792.378    62.0    61.3  
179206  1792.461    61.0    60.5  
179207  1792.545    45.8    60.0  
179208  1792.630    60.0    59.5  
179209  1792.713    59.0    58.8  
179210  1792.797    59.0    57.6  
179211  1792.880    57.0    56.2  
179212  1792.964    56.0    55.4  
179301  1793.049    56.0    55.1  
179302  1793.129    55.0    54.0  
179303  1793.210    55.5    51.3  
179304  1793.294    53.0    49.3  
179305  1793.377    52.3    48.3  
179306  1793.461    51.0    47.3  
179307  1793.544    50.0    46.4  
179308  1793.629    29.3    45.5  
179309  1793.713    24.0    44.3  
179310  1793.796    47.0    42.6  
179311  1793.880    44.0    41.7  
179312  1793.963    45.7    41.4  
179401  1794.048    45.0    40.7  
179402  1794.129    44.0    40.7  
179403  1794.209    38.0    40.7  
179404  1794.293    28.4    39.3  
179405  1794.376    55.7    39.6  
179406  1794.460    41.5    40.8  
179407  1794.543    41.0    40.0  
179408  1794.628    40.0    38.9  
179409  1794.712    11.1    37.6  
179410  1794.795    28.5    36.2  
179411  1794.879    67.4    34.7  
179412  1794.962    51.4    32.7  
179501  1795.047    21.4    30.5  
179502  1795.128    39.9    28.7  
179503  1795.209    12.6    28.2  
179504  1795.292    18.6    28.0  
179505  1795.376    31.0    25.8  
179506  1795.459    17.1    22.7  
179507  1795.543    12.9    21.3  
179508  1795.628    25.7    20.6  
179509  1795.711    13.5    20.1  
179510  1795.795    19.5    20.8  
179511  1795.878    25.0    20.9  
179512  1795.962    18.0    20.1  
179601  1796.047    22.0    20.2  
179602  1796.129    23.8    19.8  
179603  1796.211    15.7    19.0  
179604  1796.294    31.7    18.8  
179605  1796.378    21.0    17.8  
179606  1796.461     6.7    16.6  
179607  1796.545    26.9    15.7  
179608  1796.630     1.5    14.6  
179609  1796.713    18.4    13.3  
179610  1796.797    11.0    11.6  
179611  1796.880     8.4     9.9  
179612  1796.964     5.1     9.5  
179701  1797.049    14.4     8.8  
179702  1797.129     4.2     8.0  
179703  1797.210     4.0     7.7  
179704  1797.294     4.0     7.0  
179705  1797.377     7.3     6.7  
179706  1797.461    11.1     6.5  
179707  1797.544     4.3     5.9  
179708  1797.629     6.0     5.4  
179709  1797.713     5.7     5.7  
179710  1797.796     6.9     5.9  
179711  1797.880     5.8     5.5  
179712  1797.963     3.0     4.7  
179801  1798.048     2.0     4.1  
179802  1798.129     4.0     3.8  
179803  1798.209    12.4     3.5  
179804  1798.293     1.1     3.2  
179805  1798.376     0.0     3.2  
179806  1798.460     0.0     3.8  
179807  1798.543     0.0     4.0  
179808  1798.628     3.0     4.4  
179809  1798.712     2.4     5.1  
179810  1798.795     1.5     5.8  
179811  1798.879    12.5     6.5  
179812  1798.962     9.9     7.3  
179901  1799.047     1.6     7.8  
179902  1799.128    12.6     7.7  
179903  1799.209    21.7     7.5  
179904  1799.292     8.4     7.6  
179905  1799.376     8.2     7.3  
179906  1799.459    10.6     6.8  
179907  1799.543     2.1     7.0  
179908  1799.628     0.0     7.1  
179909  1799.711     0.0     6.6  
179910  1799.795     4.6     5.9  
179911  1799.878     2.7     5.4  
179912  1799.962     8.6     5.9  
180001  1800.047     6.9     7.2  
180002  1800.127     9.3     8.8  
180003  1800.208    13.9    10.1  
180004  1800.292     0.0    10.9  
180005  1800.375     5.0    11.5  
180006  1800.459    23.7    13.2  
180007  1800.542    21.0    15.3  
180008  1800.627    19.5    17.0  
180009  1800.710    11.5    18.5  
180010  1800.794    12.3    20.4  
180011  1800.877    10.5    22.8  
180012  1800.961    40.1    24.3  
180101  1801.046    27.0    25.2  
180102  1801.127    29.0    26.6  
180103  1801.207    30.0    28.3  
180104  1801.291    31.0    30.0  
180105  1801.374    32.0    32.1  
180106  1801.458    31.2    33.7  
180107  1801.541    35.0    34.9  
180108  1801.626    38.7    36.5  
180109  1801.710    33.5    37.7  
180110  1801.793    32.6    38.6  
180111  1801.877    39.8    39.6  
180112  1801.960    48.2    40.7  
180201  1802.045    47.8    41.8  
180202  1802.126    47.0    42.8  
180203  1802.207    40.8    44.1  
180204  1802.290    42.0    45.1  
180205  1802.374    44.0    45.1  
180206  1802.457    46.0    45.0  
180207  1802.541    48.0    45.1  
180208  1802.626    50.0    45.4  
180209  1802.709    51.8    45.1  
180210  1802.793    38.5    43.9  
180211  1802.876    34.5    43.2  
180212  1802.960    50.0    42.8  
180301  1803.044    50.0    42.4  
180302  1803.125    50.8    41.7  
180303  1803.206    29.5    40.8  
180304  1803.290    25.0    41.2  
180305  1803.373    44.3    42.5  
180306  1803.457    36.0    43.1  
180307  1803.540    48.3    42.9  
180308  1803.625    34.1    42.6  
180309  1803.708    45.3    43.2  
180310  1803.792    54.3    45.1  
180311  1803.875    51.0    45.7  
180312  1803.959    48.0    45.2  
180401  1804.044    45.3    44.3  
180402  1804.126    48.3    43.9  
180403  1804.208    48.0    44.6  
180404  1804.292    50.6    45.3  
180405  1804.375    33.4    46.1  
180406  1804.459    34.8    47.0  
180407  1804.542    29.8    48.1  
180408  1804.627    43.1    48.6  
180409  1804.710    53.0    48.6  
180410  1804.794    62.3    48.2  
180411  1804.877    61.0    47.9  
180412  1804.961    60.0    48.3  
180501  1805.046    61.0    48.9  
180502  1805.127    44.1    49.2  
180503  1805.207    51.4    48.8  
180504  1805.291    37.5    47.1  
180505  1805.374    39.0    44.9  
180506  1805.458    40.5    43.1  
180507  1805.541    37.6    41.3  
180508  1805.626    42.7    39.8  
180509  1805.710    44.4    38.4  
180510  1805.793    29.4    37.2  
180511  1805.877    41.0    36.3  
180512  1805.960    38.3    35.2  
180601  1806.045    39.0    34.2  
